year,week_of_year,s2_snow_above_1200_smoothed_zscore,s2_snow_1200_1800_smoothed_zscore,s2_snow_above_1800_smoothed_zscore,modis_snow_above_1200_smoothed_zscore,modis_snow_1200_1800_smoothed_zscore,modis_snow_above_1800_smoothed_zscore,temp_1200_smoothed_zscore,temp_1200_1800_smoothed_zscore,temp_1800_smoothed_zscore,precip_1200_smoothed_zscore,precip_1200_1800_smoothed_zscore,precip_1800_smoothed_zscore
2018,22,-0.485215972,-0.348455749,-0.56845063,-0.313303288,-0.37344136,-0.659293835,0.748960109,0.727289251,0.656195965,-0.447175685,-0.317554103,-0.178631823
2018,23,-0.485215972,-0.348455749,-0.56845063,-0.314217812,-0.378124727,-0.665130575,0.732117625,0.707885281,0.693373736,-0.08247517,0.183222272,0.234504487
2018,24,-0.48487803,-0.347813874,-0.56845063,-0.316179227,-0.378885274,-0.665318857,0.7949765,0.739907957,0.742300331,-0.640643816,-0.675100619,-0.669794571
2018,25,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,0.95585905,0.985716811,1.033844936,-0.690951947,-0.71248977,-0.749119721
2018,26,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,1.1035129,1.199890477,1.267074692,-0.692612719,-0.712087793,-0.748306694
2018,27,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,1.148558846,1.189678824,1.258109771,-0.695629837,-0.713627447,-0.749622624
2018,28,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.378853251,-0.665794697,1.225604312,1.171640696,1.163752403,-0.687227163,-0.713581211,-0.749652126
2018,29,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.378933308,-0.66575704,1.234293921,1.170978201,1.181438195,-0.66757624,-0.706992322,-0.742898568
2018,30,-0.485215972,-0.348455749,-0.56845063,-0.31622736,-0.377260105,-0.665551642,1.031580879,0.988892863,1.080874713,-0.648945888,-0.703508005,-0.744190666
2018,31,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,1.210737282,1.174616453,1.19981536,-0.683249899,-0.706429995,-0.739281402
